Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__EBITDA대매출액,0.004696909093336102,7.013748899940573,0.009385513245064779,-0.23904861313869818,-0.42509066399127304,-0.7256754295699624,-0.9377444594745674,
num__fe_영업이익_매출,0.00447769390514041,6.686401647842549,0.010260648692844876,-0.26297101169250425,-0.46650093197836756,-0.8704280038899823,-0.901792775688979,
num__영업이익손실_연결,0.001565852814515491,2.3382395181670996,0.002998297953874151,-0.07044159533821152,-0.10839210768455017,-0.43921714036374454,-0.7076198064618004,
num__EBITDA대매출액__lag1,0.001489268542000198,2.223878595604435,0.0030061118563885795,-0.15875200281643773,-0.28133070597409515,-0.7003840213216171,-0.7958420212897619,
num__경매_거래대금_억원,0.0011668963683211869,1.7424902115455358,0.002468612536908931,-0.03893805303167431,-0.07709347563220643,-0.7963614048269897,-0.7322701367318919,
num__fe_운영탄소집약도_변화,0.0010660337560735326,1.5918751960876467,0.0023000309582864313,0.025563544113399173,0.04305979216661823,0.30369125578433703,0.5368016105997173,
num__fe_판관비율,0.0010608825182185407,1.5841830121171196,0.00209572355699362,-0.013203569000707644,-0.03930188221588882,0.44916899629536994,0.6761973438555532,
num__EBITDA대매출액__diff1,0.0010160975469242946,1.5173070013391925,0.0032256129776065882,-0.13180084773146006,-0.23612912883132633,-0.6188684852532839,-0.3290406015353696,
num__총자본회전율,0.0009725402006881508,1.4522641650446766,0.0017007145703734467,0.02442467384041906,0.06019868152667082,0.31404932366896093,0.31918359302718696,
num__fe_signed_log1p_연간급여총액,0.0009641591300964222,1.4397489718665797,0.004021175514168884,0.015864418398824985,0.030085223582643178,0.5925467433745947,0.6124527917151014,
num__fe_Scope3_매출집약도__diff1,0.0009579145041383864,1.430424065300716,0.0019327667893109346,-0.011388995875865634,0.019752586153132592,-0.2540865808048465,-0.19248257850800835,
num__협의_거래대금_억원,0.0007756611815285894,1.1582708224843756,0.0015478018431527942,0.0381081029994839,0.07600812113311008,0.7462116994641735,0.7989970692967245,
num__경쟁_평균가격_원_tCO2eq,0.0007703505728397698,1.150340654982929,0.0015527221748206483,0.0016399122544486296,0.004622229181753194,0.5757568416781202,0.7023438007292164,
num__평균시가총액,0.0007098080082568777,1.0599343181123049,0.0013934025557368456,-0.017537238467384413,-0.02990261869055144,-0.2714093955153298,-0.6396058107711645,
num__fe_영업현금흐름_자산,0.0007055944087071387,1.053642280387176,0.00142926326058902,-0.07798630648118615,-0.16555726809286478,0.5309584838655415,0.7072785035910765,
num__종업원수증가율,0.000646770153940639,0.9658018423544874,0.0013533497772897063,-0.06246465722639071,-0.11467258267602469,-0.574677042024771,-0.6489300533370514,
num__자기자본순이익율,0.000635212482584402,0.9485431296245153,0.002732984336481375,-0.19008052586050053,-0.3466490043632228,-0.6864909844685347,-0.3368407679772924,
num__fe_현금_자산,0.0006263706268113177,0.9353398602042302,0.001136578460409695,-0.04971146330716966,-0.0884853754664062,-0.5056162294924205,0.07543272531393617,
cat__Trucost산업_Semiconductors_and_Semiconductor_Equipment,0.000618005219181254,0.9228480560417529,0.0017818357287459961,-0.01580523807209842,-0.043447242431171096,0.7493374415665341,0.43029609553947307,
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,0.0006176419097343853,0.9223055372953439,0.0011703405483910597,0.031155486439706906,0.06294239789088645,0.43343341021489945,0.4274434491843283,
num__무형자산상각비_연결,0.0006081557756248618,0.9081401869866152,0.0012245195835153431,0.02036112890963562,0.03288528057304861,0.3993247207487668,0.5354066090202226,
